Scenario,Output,AETR,LACA,HECO,CAPA,HOVI,TRAL,GITR,NAJE,DICA,UNK,AGHE,DEVA,GRCA,LOHO,RACA,ERNU,LIBI,LOWR,TRFU,VIDO,SUM,Mean
Goatgrass,sVisitsP,0,63.73573774,16.64085593,57.23070902,26.07533651,283.6236694,0.868702924,17.3634521,6.493960826,0.000178796,15.02055054,0.521424189,1.335821107,0.578746711,0.184653077,7.47E-05,0.323305067,27.24682996,0.000162275,8.39E-05,517.2442547,27.22338183
Goatgrass,sVisitsP,0,59.65586286,16.15436479,57.13279017,24.50058972,280.5082711,0.78608407,17.9769728,6.540774797,0.000225066,13.50995084,0.550188161,1.265112918,0.556871885,0.178183663,8.32E-05,0.367143799,25.87463006,0.000144656,0.000150135,505.5583947,26.60833656
Goatgrass,sVisitsP,0,73.46593371,17.66220171,61.5048588,24.47040219,309.312814,0.880302933,16.46616151,6.767213156,0.000135378,15.4299643,0.53483604,1.310039474,0.586216523,0.16289122,0.000129257,0.397946299,27.72337332,0.00019064,7.52E-05,556.6756856,29.29872029
Goatgrass,sVisitsP,0,69.06155834,17.05418082,51.156767,24.5906149,260.3867243,0.8772074,18.71764224,6.697470247,0.000302461,14.31747774,0.529825827,1.380917083,0.61568138,0.18106703,8.95E-05,0.330854664,28.39066822,8.90E-05,0.000118482,494.2892566,26.01522403
Goatgrass,sVisitsP,0,64.54161864,18.37386159,56.72878201,27.6641482,270.8880923,0.808698122,16.11236195,6.610655637,0.000167475,15.74235806,0.508880015,1.391318033,0.534192559,0.177109372,5.71E-05,0.31717776,25.68414596,0.000167668,0.00014981,506.0839422,26.63599696
Goatgrass,sVisitsP,0,61.74301017,19.10015628,59.42382174,25.85374777,283.7740763,0.908911192,18.64958893,6.78025872,0.000194612,15.54689021,0.536843594,1.212814377,0.51046972,0.181927031,0.000112507,0.37231825,28.11857857,8.48E-05,0.000128944,522.7139337,27.51125967
Goatgrass,sVisitsP,0,67.19899785,18.29520901,56.81214215,26.12657155,272.4721978,0.841828205,16.15445052,6.230704104,0.000219828,13.41862292,0.451302175,1.265604974,0.528741448,0.160787661,0.000107679,0.344946781,25.44096112,9.78E-05,8.72E-05,505.7435807,26.6180832
Goatgrass,sVisitsP,0,60.21968955,15.99501258,57.65371913,26.51802483,264.4712287,0.799109241,15.50760265,6.862020574,0.000136992,15.74760678,0.511378313,1.257885841,0.579241444,0.148001738,6.62E-05,0.382580196,24.88748255,0.000169836,8.38E-05,491.5410409,25.8705811
Goatgrass,sVisitsP,0,62.76619888,18.15279339,60.46027458,26.32578861,283.8877208,0.970888391,17.97460101,7.364524303,0.000148074,15.32261739,0.535307214,1.352160516,0.546527149,0.158250681,7.54E-05,0.370352347,27.35081397,0.000151407,0.000118632,523.5393127,27.55470067
Goatgrass,sVisitsP,0,63.43335227,16.58421749,59.41307276,25.89310776,274.4100526,0.938858129,18.79924483,6.919802772,0.000211634,15.43372176,0.549921436,1.199756188,0.624424248,0.169551999,6.91E-05,0.369798729,25.52295101,8.84E-05,0.000123203,510.2623264,26.85591191
